time,G(i),H_sun,T2m,WS10m,Int
20230121:1011,44.51,9.32,8.91,6.28,0
20230121:1111,92.14,13.91,9.17,6.55,0
20230121:1211,127.88,16.49,9.24,6.62,0
20230121:1311,152.67,16.82,9.42,6.55,0
20230121:1411,109.82,14.87,9.52,6.76,0
20230121:1511,105.17,10.83,9.59,6.97,0
20230121:1611,3.68,5.03,9.72,7.24,0
20230121:1711,0,0,9.74,7.59,0
20230121:1811,0,0,9.72,7.86,0
20230121:1911,0,0,9.65,8.28,0
20230121:2011,0,0,9.69,8.62,0
20230121:2111,0,0,9.58,8.9,0
20230121:2211,0,0,9.55,9.45,0
20230121:2311,0,0,9.49,9.93,0
20230122:0011,0,0,9.62,10.07,0
20230122:0111,0,0,9.6,10.07,0
20230122:0211,0,0,9.67,10,0
20230122:0311,0,0,9.74,10,0
20230122:0411,0,0,9.69,9.79,0
20230122:0511,0,0,9.75,9.38,0
20230122:0611,0,0,9.86,8.76,0
20230122:0711,0,0,9.82,7.45,0
20230122:0811,0,0,9.73,5.72,0
20230122:0911,7.35,3.26,9.58,4.28,0
20230122:1011,45.36,9.5,9.41,3.03,0
20230122:1111,56.04,14.11,9.56,2.55,0
20230122:1211,277.3,16.71,9.65,2.41,0
20230122:1311,294.93,17.05,9.81,2,0
20230122:1411,153.56,15.11,9.81,1.86,0
20230122:1511,273.95,11.06,9.7,1.86,0
20230122:1611,133.63,5.26,9.49,1.86,0
20230122:1711,0,0,9.19,1.86,0
20230122:1811,0,0,9,1.79,0
20230122:1911,0,0,8.92,1.52,0
20230122:2011,0,0,8.82,1.59,0
20230122:2111,0,0,8.77,1.86,0
20230122:2211,0,0,8.24,2.62,0
20230122:2311,0,0,8.15,3.1,0
20230123:0011,0,0,8.3,3.45,0
20230123:0111,0,0,8.3,3.59,0
20230123:0211,0,0,8.44,3.72,0
20230123:0311,0,0,8.44,3.52,0
20230123:0411,0,0,8.54,3.86,0
20230123:0511,0,0,8.32,3.93,0
20230123:0611,0,0,8.03,3.86,0
20230123:0711,0,0,7.65,3.86,0
20230123:0811,0,0,7.52,4.21,0
20230123:0911,10.11,3.43,7.43,4.48,0
20230123:1011,254.82,9.69,7.75,4.14,0
20230123:1111,170.64,14.32,7.82,4.48,0
20230123:1211,58.8,16.93,7.98,4.41,0
20230123:1311,87.72,17.28,8.15,4.55,0
20230123:1411,66.15,15.35,8.34,4.62,0
20230123:1511,57.3,11.3,8.45,4.41,0
20230123:1611,10.11,5.5,8.62,4.28,0
20230123:1711,0,0,8.76,4,0
20230123:1811,0,0,8.8,4,0
20230123:1911,0,0,8.96,4.34,0
20230123:2011,0,0,8.99,4.55,0
20230123:2111,0,0,8.88,4.48,0
20230123:2211,0,0,8.92,3.93,0
20230123:2311,0,0,9.01,4,0
20230124:0011,0,0,9.03,4.14,0
20230124:0111,0,0,9.04,4.21,0
20230124:0211,0,0,9.09,4.41,0
20230124:0311,0,0,9.12,4.34,0
20230124:0411,0,0,9.15,4.28,0
20230124:0511,0,0,9.13,4.28,0
20230124:0611,0,0,9.09,4.41,0
20230124:0711,0,0,9.05,4.69,0
20230124:0811,0,0,8.94,4.76,0
20230124:0911,43.82,3.6,8.83,4.76,0
20230124:1011,75.2,9.89,8.76,4.07,0
20230124:1111,235.56,14.53,8.94,4.21,0
20230124:1211,89.51,17.16,9.07,4.41,0
20230124:1311,58.8,17.53,9.17,4.41,0
20230124:1411,61.56,15.59,9.23,4.28,0
20230124:1511,50.53,11.55,9.28,4.28,0
20230124:1611,16.54,5.74,9.19,4.28,0
20230124:1711,0,0,9.19,4.14,0
20230124:1811,0,0,9.13,4.28,0
20230124:1911,0,0,9.16,4.41,0
20230124:2011,0,0,9.16,4.55,0
20230124:2111,0,0,9.04,4.62,0
20230124:2211,0,0,8.97,4.97,0
20230124:2311,0,0,8.94,4.83,0
20230125:0011,0,0,8.94,5.24,0
